"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",176,0.480062622803919,1.56683249991584,1.21193787811103e-07,5.81730181493294e-06,3.06173779733313e-06,1824,"tags=66%, list=36%, signal=44%","Ddx18/Acp1/Ncbp2/Pabpc4/Eif4e/Mcm2/Phb/Nolc1/Vdac1/Eif2s1/Exosc7/Pole3/Tfdp1/Snrpd3/Rnps1/Pold2/Lsm7/Trim28/Cdk4/Cad/Hdgf/Cyc1/Abce1/Nhp2/Ccna2/Cct3/Eif1ax/Kpnb1/Pcbp1/Psmd1/Gspt1/Vdac3/Fbl/Iars/Psmd8/Ssbp1/Kars/Impdh2/Lsm2/Psmd7/Eif4a1/Canx/Txnl4a/Xpot/Nme1/Eif3j1/Cct4/Ifrd1/Eprs/Glo1/Phb2/Cct7/Nop56/Cnbp/Srsf1/U2af1/Rsl1d1/Prpf31/Uba2/Ncbp1/Tcp1/Ptges3/Srsf2/Snrpd1/Mrpl23/Ywhaq/Eif2s2/Ranbp1/Mcm4/Tomm70a/Ndufab1/Etf1/Mcm7/Psma4/Mad2l1/Snrpa/Mcm5/Cct2/Set/Odc1/Ilf2/Ywhae/Ube2l3/G3bp1/Snrpa1/Ddx21/Pa2g4/Ppm1g/Hnrnpu/Erh/Eif3b/C1qbp/Snrpb2/Cct5/Ldha/Psma7/Ran/Psma1/H2az1/Psmc4/Smarcc1/Psmb2/Psmd14/Xrcc6/Psma6/Cops5/Tyms/Srsf3/Tardbp/Cbx3/Mrpl9/Dhx15/Pcna/Got2/Psma2/Ube2e1"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",124,0.480754145140575,1.54409442541079,6.94738748805398e-06,0.000164226159141328,8.64348206006988e-05,1362,"tags=45%, list=27%, signal=34%","Hk2/Myo1c/Bmpr2/Cxcl10/Igf1r/Plec/Arl4a/Furin/Cd81/Spred2/Serpinb6a/Il1rl1/Plscr1/Cyfip1/Il1r2/Capg/Syngr2/Ahr/P2rx4/Plagl1/Phlda1/Nfkbiz/Tnfsf11/Gadd45b/Myo1e/Spp1/Rnh1/Xbp1/Gabarapl1/Il2ra/Nfil3/Gpr65/Ctsz/Tnfrsf8/Il4ra/Gpx4/Map3k8/Cd44/Mapkapk2/Wls/Dhrs3/Uck2/Itgav/Tnfrsf4/Dcps/Socs1/Tiam1/Ifitm3/Bhlhe40/Hipk2/Pim1/Odc1/Hycc2/Cd83/Car2/Fgl2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",119,0.47799925747911,1.53109648700761,1.35465752402808e-05,0.000164226159141328,8.64348206006988e-05,1979,"tags=69%, list=39%, signal=43%","Hk2/Cdkn1a/Rrm2/Rpn1/Slc6a6/Ero1a/Hspa9/Eef1e1/Stard4/Tomm40/Mcm2/Phgdh/Shmt2/Fkbp2/Ssr1/Ebp/Xbp1/Pdap1/Calr/Arpc5l/Nfil3/Ddx39a/Nampt/Psat1/Hspa5/Ufm1/Sdf2l1/Cct6a/Gmps/Skap2/Canx/Acly/Psmb5/Serp1/Ddit4/Ifrd1/Eprs/Cd9/Got1/Tfrc/Hmgcr/Eno1/Eif2s2/M6pr/Ifi30/Mcm4/Actr2/Hsp90b1/Bhlhe40/Etf1/Psma4/Elovl6/Tpi1/Immt/Stip1/Cacybp/Nmt1/Atp2a2/Fgl2/Tes/Ldha/Sytl2/Psmc4/Ctsc/Map2k3/Ppp1r15a/Tcea1/Psmd14/Prdx1/Cops5/Nup205/Gsk3b/Adipor2/Cxcr4/Sqstm1/Hspa4/Sc5d/Mthfd2/Psma3/Uso1/Psmd13/Hprt"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",116,0.478399020700253,1.53019450523796,1.36855132617773e-05,0.000164226159141328,8.64348206006988e-05,1621,"tags=54%, list=32%, signal=38%","Klf4/Vegfa/Irs2/Cxcl10/Cdkn1a/Ets2/Fosb/Dusp4/Ccrl2/Socs3/Nr4a1/Areg/Cflar/Bcl3/Ifngr2/Phlda1/Nfkbia/Gadd45b/Rnf19b/Gem/Plaur/Sod2/Fos/Nfil3/Ier3/Cd80/Nfkb2/Zfp36/Nampt/B4galt5/Map3k8/Pdlim5/Ier5/Zc3h12a/Cd44/Tiparp/Smad3/Ier2/Cebpb/Dusp1/Tnfaip8/Ccnl1/Nfe2l2/Id2/Atp2b1/Tgif1/Nfkb1/Ifih1/Bhlhe40/Ptpre/Icam1/Kdm6b/Il1b/Fosl2/Spsb1/Cd83/Nfkbie/Birc3/Junb/Ehd1/Map2k3/Ppp1r15a/Mcl1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",71,0.526648078539,1.63381543369249,1.96872509574524e-05,0.000188997609191543,9.94724258902856e-05,831,"tags=45%, list=16%, signal=38%","Vegfa/Pdia6/Ero1a/Hspa9/Eif4e/Spcs3/Nolc1/Eif2s1/Nop14/Ssr1/Banf1/Xbp1/Khsrp/Calr/Dctn1/Nhp2/Spcs1/Dkc1/Eif4g1/Psat1/Hspa5/Iars/Eif4a1/Xpot/Exosc1/Kif5b/Cebpb/Serp1/Nfya/Ddit4/Eif4a2/Nop56"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",79,0.483446078222229,1.51037331377469,0.000490003351736254,0.00367403507200166,0.00193370266947456,1005,"tags=38%, list=20%, signal=31%","Large1/Hs3st1/Hk2/Vegfa/Irs2/Cdkn1a/Cited2/Hdlbp/Slc6a6/Ero1a/Errfi1/Klf7/Isg20/Plaur/Fam162a/Fos/Nedd4l/Nfil3/Ier3/Ids/Zfp36/Hspa5/Tiparp/Hk1/Dusp1/Ddit4/Prdx5/Jmjd6/Ext1/Eno1"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",82,0.467049724999994,1.46321418258479,0.000535796781333576,0.00367403507200166,0.00193370266947456,1979,"tags=68%, list=39%, signal=42%","Polr2h/Ddb1/Ncbp2/Polr2c/Polr1c/Mrpl40/Nudt9/Polr2f/Polr2e/Bcap31/Gpx4/Rnmt/Gtf2a2/Ssrp1/Edf1/Impdh2/Gtf2f1/Tmed2/Rpa3/Pold4/Nme1/Sec61a1/Sf3a3/Rala/Aprt/Trp53/Mpc2/Dad1/Nudt21/Zwint/Lig1/Srsf6/Alyref/Polr1h/Sdcbp/Nelfe/Rbx1/Rfc2/Polr2g/Polb/Gtf2b/Pole4/Taf13/Dctn4/Nt5c/Tyms/Tsg101/Gtf2h5/Pcna/Polr2k/Polr2j/Polr2i/Eif1b/Rfc3/Polr1d/Hprt"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",29,0.567188163927471,1.60948927884826,0.00201389588158292,0.0113443201134432,0.00597069479654905,1129,"tags=59%, list=22%, signal=46%","Antxr2/Plscr1/Errfi1/Stard4/Plaur/Ebp/Nfil3/Clu/Cd9/Anxa5/Fabp5/Ethe1/Hmgcr/Chka/Cpeb2/Ctnnb1/Stx5a"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",55,0.488503645089159,1.48699742257469,0.00240120060030015,0.0113443201134432,0.00597069479654905,1134,"tags=38%, list=22%, signal=30%","Eif2ak2/Bst2/Cxcl10/Isg15/Irf7/Plscr1/Ccrl2/Isg20/Ifitm2/Il4ra/Gbp2/Ifi27/Ddx60/Ifitm1/Stat2/Tent5a/Ifi30/Pnpt1/Ifih1/Ifitm3/Ogfr"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",59,0.475167185294489,1.45409818185342,0.0022004400880176,0.0113443201134432,0.00597069479654905,1581,"tags=51%, list=31%, signal=35%","Large1/Klf4/Tpsb2/Flnb/Tff1/Areg/Isg20/Xbp1/Fos/Zfp36/Cd44/Cd9/Ckb/Nrip1/Top2a/Fabp5/Nab2/Id2/Tspan13/Tiam1/Fkbp5/Ncor2/Ass1/Etfb/Bag1/Slc24a3/Car2/Jak2/Plk4/Aff1"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",69,0.459692055364655,1.42361565076228,0.0025997400259974,0.0113443201134432,0.00597069479654905,1896,"tags=58%, list=37%, signal=37%","Furin/Fosb/Polr2h/Rpn1/Creg1/Nr4a1/Bak1/Nfkbia/Pole3/Sod2/Pdap1/Ppp1r2/Fos/Grpel1/Lyn/Bsg/Plcl1/Prkcd/Rrad/Psmc3/Grina/Tfrc/Mrpl23/Chka/Mark2/Icam1/Stip1/Ddx21/Hnrnpu/Car2/Acaa1a/Junb/Eif2s3x/Eif5/Parp2/Selenow/Ap2s1/Ppat/Sqstm1/Slc25a4"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",25,0.568821319045375,1.583539592014,0.0040428542551041,0.0144259667401322,0.00759261407375381,1793,"tags=76%, list=35%, signal=49%","Hk2/Ddx18/Rcl1/Ndufaf4/Mrto4/Phb/Mybbp1a/Nolc1/Cdk4/Dctpp1/Nop56/Wdr43/Mcm4/Mcm5/Pa2g4/Plk4/Supv3l1/Mphosph10/Cbx3"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",38,0.517509512379082,1.51893470643231,0.00420757363253857,0.0144259667401322,0.00759261407375381,1665,"tags=61%, list=33%, signal=41%","Vegfa/Basp1/Capg/Dst/Areg/Gadd45b/Spp1/Gem/Plaur/Flna/Cd44/Emp3/Notch2/Vim/Itgav/Id2/Copa/Mcm7/Fn1/Lgals1/Nt5e/Lamc1/Ppib"
